LexToken(SLABEL,'<?php',568,0)
LexToken(IF,'if',573,43)
LexToken(LPARENTHESIS,'(',573,46)
LexToken(ID,'$a',573,47)
LexToken(GREATER,'>',573,50)
LexToken(ID,'$b',573,52)
LexToken(RPARENTHESIS,')',573,54)
LexToken(LKEY,'{',573,56)
LexToken(ECHO,'echo',574,62)
LexToken(STRING,'"a es mayor que b"',574,67)
LexToken(SEMICOLON,';',574,85)
LexToken(RKEY,'}',575,87)
LexToken(ELSE,'else',575,89)
LexToken(IF,'if',575,93)
LexToken(LPARENTHESIS,'(',575,96)
LexToken(ID,'$a',575,97)
LexToken(EQUALEQUAL,'==',575,100)
LexToken(ID,'$b',575,103)
LexToken(RPARENTHESIS,')',575,105)
LexToken(LKEY,'{',575,107)
LexToken(ECHO,'echo',576,113)
LexToken(STRING,'"a es igual que b"',576,118)
LexToken(SEMICOLON,';',576,136)
LexToken(RKEY,'}',577,138)
LexToken(ELSE,'else',577,140)
LexToken(LKEY,'{',577,145)
LexToken(ECHO,'echo',578,151)
LexToken(STRING,'"a es menor que b"',578,156)
LexToken(SEMICOLON,';',578,174)
LexToken(RKEY,'}',579,176)
LexToken(IF,'if',582,180)
LexToken(LPARENTHESIS,'(',582,183)
LexToken(ID,'$a',582,184)
LexToken(GREATER,'>',582,187)
LexToken(ID,'$b',582,189)
LexToken(RPARENTHESIS,')',582,191)
LexToken(TWOPOINTS,':',582,192)
LexToken(ECHO,'echo',583,198)
LexToken(ID,'$a',583,203)
LexToken(CONCATSTR,'.',583,205)
LexToken(STRING,'"es mayor que"',583,206)
LexToken(CONCATSTR,'.',583,220)
LexToken(ID,'$b',583,221)
LexToken(SEMICOLON,';',583,223)
LexToken(ELSE,'else',584,225)
LexToken(IF,'if',584,230)
LexToken(LPARENTHESIS,'(',584,233)
LexToken(ID,'$a',584,234)
LexToken(EQUALEQUAL,'==',584,237)
LexToken(ID,'$b',584,240)
LexToken(RPARENTHESIS,')',584,242)
LexToken(TWOPOINTS,':',584,243)
LexToken(ECHO,'echo',585,265)
LexToken(STRING,'"La linea anterior provoca un error del interprete."',585,270)
LexToken(SEMICOLON,';',585,322)
LexToken(NFUNCTION,'endif',586,324)
LexToken(SEMICOLON,';',586,329)
LexToken(ID,'$i',588,332)
LexToken(EQUAL,'=',588,335)
LexToken(INTEGER,'0',588,337)
LexToken(SEMICOLON,';',588,338)
LexToken(DO,'do',589,340)
LexToken(LKEY,'{',589,343)
LexToken(ECHO,'echo',590,349)
LexToken(ID,'$i',590,354)
LexToken(SEMICOLON,';',590,356)
LexToken(RKEY,'}',591,358)
LexToken(WHILE,'while',591,360)
LexToken(LPARENTHESIS,'(',591,366)
LexToken(ID,'$i',591,367)
LexToken(GREATER,'>',591,370)
LexToken(INTEGER,'0',591,372)
LexToken(RPARENTHESIS,')',591,373)
LexToken(SEMICOLON,';',591,374)
LexToken(ID,'$i',593,377)
LexToken(EQUAL,'=',593,380)
LexToken(INTEGER,'1',593,382)
LexToken(SEMICOLON,';',593,383)
LexToken(FOR,'for',594,385)
LexToken(LPARENTHESIS,'(',594,389)
LexToken(SEMICOLON,';',594,390)
LexToken(SEMICOLON,';',594,392)
